"node","comm","type","geneset","leftovers"
"CLASP1",5,"Input Gene","Stage_3",0
"GOLGA1",5,"Input Gene","Stage_3",0
"NADK",5,"Input Gene","Stage_3",0
"NUP54",5,"Input Gene","Stage_3",0
"RAB11FIP2",5,"Input Gene","Stage_3",0
"RASSF8",5,"Input Gene","Stage_3",0
"WDFY3",5,"Input Gene","Stage_3",0
"APOE",6,"Candidate","Stage_3",0
"MAPT",6,"Candidate","Stage_3",0
"NUDT4",6,"Input Gene","Stage_3",0
"RPS6KB1",6,"Input Gene","Stage_3",0
"SSU72",6,"Input Gene","Stage_3",0
"EXEBRYL_1",6,"NovelDrug","Stage_3",0
"ACTB1003",6,"NovelDrug","Stage_3",0
"XL418",6,"NovelDrug","Stage_3",0
"FLUTICASONE_PROPIONATE",7,"EstablishedDrug","Stage_3",0
"PREDNISONE",7,"EstablishedDrug","Stage_3",0
"BECLOMETHASONE",7,"EstablishedDrug","Stage_3",0
"BETAMETHASONE",7,"EstablishedDrug","Stage_3",0
"BUDESONIDE",7,"EstablishedDrug","Stage_3",0
"CLOBETASOL",7,"EstablishedDrug","Stage_3",0
"CORT_108297",7,"EstablishedDrug","Stage_3",0
"PREDNISOLONE",7,"EstablishedDrug","Stage_3",0
"MOMETASONE",7,"EstablishedDrug","Stage_3",0
"DESONIDE",7,"EstablishedDrug","Stage_3",0
"DEXAMETHASONE",7,"EstablishedDrug","Stage_3",0
"DIFLUPREDNATE",7,"EstablishedDrug","Stage_3",0
"BECLOMETHASONE_DIPROPIONATE",7,"EstablishedDrug","Stage_3",0
"FLUTICASONE",7,"EstablishedDrug","Stage_3",0
"FLUNISOLIDE",7,"EstablishedDrug","Stage_3",0
"FLUOCINONIDE",7,"EstablishedDrug","Stage_3",0
"FLUOCINOLONE_ACETONIDE",7,"EstablishedDrug","Stage_3",0
"KB3305",7,"EstablishedDrug","Stage_3",0
"LOTEPREDNOL_ETABONATE",7,"EstablishedDrug","Stage_3",0
"MIFEPRISTONE",7,"EstablishedDrug","Stage_3",0
"PMI_001",7,"EstablishedDrug","Stage_3",0
"TRIAMCINOLONE",7,"EstablishedDrug","Stage_3",0
"HE3286",7,"EstablishedDrug","Stage_3",0
"FLUTICASONE_FUROATE",7,"EstablishedDrug","Stage_3",0
"ALCLOMETASONE",7,"EstablishedDrug","Stage_3",0
"AMCINONIDE",7,"EstablishedDrug","Stage_3",0
"CICLESONIDE",7,"EstablishedDrug","Stage_3",0
"CLOCORTOLONE",7,"EstablishedDrug","Stage_3",0
"DESOXIMETASONE",7,"EstablishedDrug","Stage_3",0
"DIFLORASONE",7,"EstablishedDrug","Stage_3",0
"FLUMETHASONE_PIVALATE",7,"EstablishedDrug","Stage_3",0
"FLUOROMETHOLONE",7,"EstablishedDrug","Stage_3",0
"FLURANDRENOLIDE",7,"EstablishedDrug","Stage_3",0
"HALOBETASOL_PROPIONATE",7,"EstablishedDrug","Stage_3",0
"HYDROCORTAMATE",7,"EstablishedDrug","Stage_3",0
"MEDRYSONE",7,"EstablishedDrug","Stage_3",0
"METHYLPREDNISOLONE",7,"EstablishedDrug","Stage_3",0
"PARAMETHASONE",7,"EstablishedDrug","Stage_3",0
"PREDNICARBATE",7,"EstablishedDrug","Stage_3",0
"RIMEXOLONE",7,"EstablishedDrug","Stage_3",0
"NR3C1",7,"Input Gene","Stage_3",0
"INTERFERON_BETA_1A",8,"EstablishedDrug","Stage_3",0
"INTERFERON_ALPHA_2B",8,"EstablishedDrug","Stage_3",0
"MODIFIED_IFN_ALPHA",8,"EstablishedDrug","Stage_3",0
"MODIFIED_IFN_BETA",8,"EstablishedDrug","Stage_3",0
"INTERFERON_ALFA_N3",8,"EstablishedDrug","Stage_3",0
"INTERFERON_ALPHA",8,"EstablishedDrug","Stage_3",0
"INTERFERON_BETA",8,"EstablishedDrug","Stage_3",0
"INTERFERON_BETA_1B",8,"EstablishedDrug","Stage_3",0
"PEG_INTERFERON_ALFACON_1",8,"EstablishedDrug","Stage_3",0
"PEGINTERFERON_ALFA_2A",8,"EstablishedDrug","Stage_3",0
"RECOMBINANT_INTERFERON_ALFA_2B",8,"EstablishedDrug","Stage_3",0
"SIFALIMUMAB",8,"EstablishedDrug","Stage_3",0
"INTERFERON_ALFA_2A__RECOMBINANT",8,"EstablishedDrug","Stage_3",0
"INTERFERON_ALFA_2B__RECOMBINANT",8,"EstablishedDrug","Stage_3",0
"INTERFERON_ALFACON_1",8,"EstablishedDrug","Stage_3",0
"INTERFERON_ALFA_N1",8,"EstablishedDrug","Stage_3",0
"IFNAR1",8,"Input Gene","Stage_3",0
"BCL11A",9,"Candidate","Stage_3",0
"KIF13B",9,"Candidate","Stage_3",0
"POU2F3",9,"Candidate","Stage_3",0
"UTP6",9,"Candidate","Stage_3",0
"HNF1A",9,"Input Gene","Stage_3",0
"PPAP2B",9,"Input Gene","Stage_3",0
"ATF3",10,"Candidate","Stage_3",0
"CCND1",10,"Candidate","Stage_3",0
"FOSL2",10,"Candidate","Stage_3",0
"TSC22D3",10,"Candidate","Stage_3",0
"ARSENIC_TRIOXIDE",10,"EstablishedDrug","Stage_3",0
"T_5224",10,"EstablishedDrug","Stage_3",0
"JUN",10,"Input Gene","Stage_3",0
"ADRBK1",11,"Candidate","Stage_3",0
"PEBP1",11,"Candidate","Stage_3",0
"GIT2",11,"Input Gene","Stage_3",0
"AC_100_DENTONIN",12,"EstablishedDrug","Stage_3",0
"BGC20_1531",12,"EstablishedDrug","Stage_3",0
"DINOPROSTONE",12,"EstablishedDrug","Stage_3",0
"PTGER4",12,"Input Gene","Stage_3",0
"UBAP1",13,"Candidate","Stage_3",0
"EPS8",13,"Input Gene","Stage_3",0
"MRPL20",13,"Input Gene","Stage_3",0
"ARHGDIB",14,"Candidate","Stage_3",0
"ARHGDIG",14,"Candidate","Stage_3",0
"RHOBTB1",14,"Input Gene","Stage_3",0
"MDK",15,"Candidate","Stage_3",0
"TNR",15,"Candidate","Stage_3",0
"PTPRZ1",15,"Input Gene","Stage_3",0
"PROC",16,"Candidate","Stage_3",0
"SODIUM_TETRADECYL_SULFATE",16,"EstablishedDrug","Stage_3",0
"THBD",16,"Input Gene","Stage_3",0
"NTRK2",17,"Input Gene","Stage_3",0
"LESTAURTINIB",17,"NovelDrug","Stage_3",0
"PYM50028",17,"NovelDrug","Stage_3",0
"BCL2L7P1",18,"Candidate","Stage_3",1
"CPA5",18,"Candidate","Stage_3",1
"GATA4",18,"Candidate","Stage_3",1
"GUK1",18,"Candidate","Stage_3",1
"TBC1D25",18,"Candidate","Stage_3",1
"PENTOSAN_POLYSULFATE",18,"EstablishedDrug","Stage_3",1
"TIAGABINE",18,"EstablishedDrug","Stage_3",1
"ALG1",18,"Input Gene","Stage_3",1
"ASF1A",18,"Input Gene","Stage_3",1
"C16orf72",18,"Input Gene","Stage_3",1
"C21orf91",18,"Input Gene","Stage_3",1
"CCNJ",18,"Input Gene","Stage_3",1
"CDH11",18,"Input Gene","Stage_3",1
"COL4A3BP",18,"Input Gene","Stage_3",1
"CYB5B",18,"Input Gene","Stage_3",1
"DNAJC3",18,"Input Gene","Stage_3",1
"DPY19L1",18,"Input Gene","Stage_3",1
"DUSP1",18,"Input Gene","Stage_3",1
"EIF5A2",18,"Input Gene","Stage_3",1
"ELMOD2",18,"Input Gene","Stage_3",1
"FBXO33",18,"Input Gene","Stage_3",1
"FGF1",18,"Input Gene","Stage_3",1
"GOLGA7",18,"Input Gene","Stage_3",1
"GPM6A",18,"Input Gene","Stage_3",1
"HECTD2",18,"Input Gene","Stage_3",1
"HN1",18,"Input Gene","Stage_3",1
"HOXA11",18,"Input Gene","Stage_3",1
"IL21R",18,"Input Gene","Stage_3",1
"KIAA1432",18,"Input Gene","Stage_3",1
"MBOAT2",18,"Input Gene","Stage_3",1
"MYCBP2",18,"Input Gene","Stage_3",1
"NFIA",18,"Input Gene","Stage_3",1
"NOVA1",18,"Input Gene","Stage_3",1
"OSTM1",18,"Input Gene","Stage_3",1
"PDIK1L",18,"Input Gene","Stage_3",1
"PDS5B",18,"Input Gene","Stage_3",1
"PHACTR3",18,"Input Gene","Stage_3",1
"PHTF2",18,"Input Gene","Stage_3",1
"PLCL1",18,"Input Gene","Stage_3",1
"POLK",18,"Input Gene","Stage_3",1
"PPFIA1",18,"Input Gene","Stage_3",1
"PTPN21",18,"Input Gene","Stage_3",1
"RECK",18,"Input Gene","Stage_3",1
"RNF2",18,"Input Gene","Stage_3",1
"SESN1",18,"Input Gene","Stage_3",1
"SLC35B4",18,"Input Gene","Stage_3",1
"SLC6A1",18,"Input Gene","Stage_3",1
"SYNJ1",18,"Input Gene","Stage_3",1
"TFAP4",18,"Input Gene","Stage_3",1
"TMEFF2",18,"Input Gene","Stage_3",1
"TRIM33",18,"Input Gene","Stage_3",1
"TROVE2",18,"Input Gene","Stage_3",1
"WAPAL",18,"Input Gene","Stage_3",1
"WHSC1",18,"Input Gene","Stage_3",1
"YPEL2",18,"Input Gene","Stage_3",1
"ZEB1",18,"Input Gene","Stage_3",1
"ZEB2",18,"Input Gene","Stage_3",1
"ZFPM2",18,"Input Gene","Stage_3",1
"8-MAR",18,"Input Gene","Stage_3",1
"AGFG1",18,"Input Gene","Stage_3",1
"ARHGAP6",18,"Input Gene","Stage_3",1
"ATL2",18,"Input Gene","Stage_3",1
"ATP11C",18,"Input Gene","Stage_3",1
"B3GALTL",18,"Input Gene","Stage_3",1
"BHLHE41",18,"Input Gene","Stage_3",1
"C11orf87",18,"Input Gene","Stage_3",1
"C16orf93",18,"Input Gene","Stage_3",1
"CDK17",18,"Input Gene","Stage_3",1
"CNEP1R1",18,"Input Gene","Stage_3",1
"CSMD3",18,"Input Gene","Stage_3",1
"CXorf23",18,"Input Gene","Stage_3",1
"DELTAEF1",18,"Input Gene","Stage_3",1
"DENND5B",18,"Input Gene","Stage_3",1
"EDEM3",18,"Input Gene","Stage_3",1
"FAM122C",18,"Input Gene","Stage_3",1
"FAM134B",18,"Input Gene","Stage_3",1
"FAM160B1",18,"Input Gene","Stage_3",1
"FAM86A",18,"Input Gene","Stage_3",1
"FAT3",18,"Input Gene","Stage_3",1
"FOXF1",18,"Input Gene","Stage_3",1
"GPR107",18,"Input Gene","Stage_3",1
"GPR158",18,"Input Gene","Stage_3",1
"HDHD2",18,"Input Gene","Stage_3",1
"HMBOX1",18,"Input Gene","Stage_3",1
"IGSF10",18,"Input Gene","Stage_3",1
"LHFP",18,"Input Gene","Stage_3",1
"MGAT5",18,"Input Gene","Stage_3",1
"MIEF1",18,"Input Gene","Stage_3",1
"MMD",18,"Input Gene","Stage_3",1
"MMGT1",18,"Input Gene","Stage_3",1
"PCMTD1",18,"Input Gene","Stage_3",1
"PHF21B",18,"Input Gene","Stage_3",1
"PIKFYVE",18,"Input Gene","Stage_3",1
"PPP1R18",18,"Input Gene","Stage_3",1
"PRSS36",18,"Input Gene","Stage_3",1
"RFTN2",18,"Input Gene","Stage_3",1
"RIMKLB",18,"Input Gene","Stage_3",1
"RNF169",18,"Input Gene","Stage_3",1
"SGIP1",18,"Input Gene","Stage_3",1
"SLITRK1",18,"Input Gene","Stage_3",1
"SNN",18,"Input Gene","Stage_3",1
"SULF1",18,"Input Gene","Stage_3",1
"SYDE1",18,"Input Gene","Stage_3",1
"TBX18",18,"Input Gene","Stage_3",1
"TSC22D2",18,"Input Gene","Stage_3",1
"VASH2",18,"Input Gene","Stage_3",1
"WAVE3",18,"Input Gene","Stage_3",1
"ZCCHC24",18,"Input Gene","Stage_3",1
"ZEB4",18,"Input Gene","Stage_3",1
"ZNF322",18,"Input Gene","Stage_3",1
"ZNF532",18,"Input Gene","Stage_3",1
"ZSWIM6",18,"Input Gene","Stage_3",1
"DENENICOKIN",18,"NovelDrug","Stage_3",1
