"node1","node2","score"
"PRKCZ","RPS6KB1",1
"RAB11FIP2","RASSF8",0.170939
"RPS6KA3","TBK1",0.0625517
"RPS6KB1","SSU72",0.11864
"RQCD1","WIPF1",0.0706309
"SEC23A","WIPF1",0.0602529
"SLIT2","UBR2",0.061253
"TCEB1","UBR2",0.0989218
"DPYSL2","LACOSAMIDE",1
"FGF1","PENTOSAN_POLYSULFATE",1
"FN1","AS1409",1
"HMOX2","STANNSOPORFIN",1
"IFNAR1","INTERFERON_BETA_1A",1
"IFNAR1","INTERFERON_ALPHA_2B",1
"IFNAR1","MODIFIED_IFN_ALPHA",1
"IFNAR1","MODIFIED_IFN_BETA",1
"IFNAR1","INTERFERON_ALFA_N3",1
"IFNAR1","INTERFERON_ALPHA",1
"IFNAR1","INTERFERON_BETA",1
"IFNAR1","INTERFERON_BETA_1B",1
"IFNAR1","PEG_INTERFERON_ALFACON_1",1
"IFNAR1","PEGINTERFERON_ALFA_2A",1
"IFNAR1","RECOMBINANT_INTERFERON_ALFA_2B",1
"IFNAR1","SIFALIMUMAB",1
"IFNAR1","INTERFERON_ALFA_2A__RECOMBINANT",1
"IFNAR1","INTERFERON_ALFA_2B__RECOMBINANT",1
"IFNAR1","INTERFERON_ALFACON_1",1
"IFNAR1","INTERFERON_ALFA_N1",1
"IL21R","DENENICOKIN",1
"ITGA1","SAN_300",1
"JUN","ARSENIC_TRIOXIDE",1
"JUN","T_5224",1
"NR3C1","FLUTICASONE_PROPIONATE",1
"NR3C1","PREDNISONE",1
"NR3C1","BECLOMETHASONE",1
"NR3C1","BETAMETHASONE",1
"NR3C1","BUDESONIDE",1
"NR3C1","CLOBETASOL",1
"NR3C1","CORT_108297",1
"NR3C1","PREDNISOLONE",1
"NR3C1","MOMETASONE",1
"NR3C1","DESONIDE",1
"NR3C1","DEXAMETHASONE",1
"NR3C1","DIFLUPREDNATE",1
"NR3C1","BECLOMETHASONE_DIPROPIONATE",1
"NR3C1","FLUTICASONE",1
"NR3C1","FLUNISOLIDE",1
"NR3C1","FLUOCINONIDE",1
"NR3C1","FLUOCINOLONE_ACETONIDE",1
"NR3C1","KB3305",1
"NR3C1","LOTEPREDNOL_ETABONATE",1
"NR3C1","MIFEPRISTONE",1
"NR3C1","PMI_001",1
"NR3C1","TRIAMCINOLONE",1
"NR3C1","HE3286",1
"NR3C1","FLUTICASONE_FUROATE",1
"NR3C1","ALCLOMETASONE",1
"NR3C1","AMCINONIDE",1
"NR3C1","CICLESONIDE",1
"NR3C1","CLOCORTOLONE",1
"NR3C1","DESOXIMETASONE",1
"NR3C1","DIFLORASONE",1
"NR3C1","FLUMETHASONE_PIVALATE",1
"NR3C1","FLUOROMETHOLONE",1
"NR3C1","FLURANDRENOLIDE",1
"NR3C1","HALOBETASOL_PROPIONATE",1
"NR3C1","HYDROCORTAMATE",1
"NR3C1","MEDRYSONE",1
"NR3C1","METHYLPREDNISOLONE",1
"NR3C1","PARAMETHASONE",1
"NR3C1","PREDNICARBATE",1
"NR3C1","RIMEXOLONE",1
"NTRK2","LESTAURTINIB",1
"NTRK2","PYM50028",1
"PRKCZ","INGENOL_MEBUTATE",1
"PTGER4","AC_100_DENTONIN",1
"PTGER4","BGC20_1531",1
"PTGER4","DINOPROSTONE",1
"RPS6KB1","ACTB1003",1
"RPS6KB1","XL418",1
"SLC6A1","TIAGABINE",1
