"node","comm","type","geneset","leftovers"
"METHYLPREDNISOLONE",7,"EstablishedDrug","Stage_2",0
"PARAMETHASONE",7,"EstablishedDrug","Stage_2",0
"PREDNICARBATE",7,"EstablishedDrug","Stage_2",0
"RIMEXOLONE",7,"EstablishedDrug","Stage_2",0
"NR3C1",7,"Input Gene","Stage_2",0
"FEZ1",8,"Candidate","Stage_2",0
"PRG2",8,"Candidate","Stage_2",0
"INGENOL_MEBUTATE",8,"EstablishedDrug","Stage_2",0
"FEZ2",8,"Input Gene","Stage_2",0
"PRKCZ",8,"Input Gene","Stage_2",0
"RPS6KB1",8,"Input Gene","Stage_2",0
"ACTB1003",8,"NovelDrug","Stage_2",0
"XL418",8,"NovelDrug","Stage_2",0
"ICAM2",9,"Candidate","Stage_2",0
"ITGAL",9,"Candidate","Stage_2",0
"RASSF5",9,"Candidate","Stage_2",0
"CYTOLIN",9,"EstablishedDrug","Stage_2",0
"EFALIZUMAB",9,"EstablishedDrug","Stage_2",0
"SAR_1118",9,"EstablishedDrug","Stage_2",0
"ANTITHYMOCYTE_GLOBULIN",9,"EstablishedDrug","Stage_2",0
"MSN",9,"Input Gene","Stage_2",0
"RASSF1",9,"Input Gene","Stage_2",0
"BCL11A",10,"Candidate","Stage_2",0
"KIF13B",10,"Candidate","Stage_2",0
"SFRP1",10,"Candidate","Stage_2",0
"SFRP4",10,"Candidate","Stage_2",0
"SFRP5",10,"Candidate","Stage_2",0
"UTP6",10,"Candidate","Stage_2",0
"WNK4",10,"Candidate","Stage_2",0
"PPAP2B",10,"Input Gene","Stage_2",0
"WNT16",10,"Input Gene","Stage_2",0
"FABP5",11,"Candidate","Stage_2",0
"TPD52",11,"Candidate","Stage_2",0
"MAP2",11,"Input Gene","Stage_2",0
"MARCKS",11,"Input Gene","Stage_2",0
"NIN",11,"Input Gene","Stage_2",0
"BACLOFEN",12,"EstablishedDrug","Stage_2",0
"ARBACLOFEN",12,"EstablishedDrug","Stage_2",0
"LESOGABERAN",12,"EstablishedDrug","Stage_2",0
"GAMMA_HYDROXYBUTYRIC_ACID",12,"EstablishedDrug","Stage_2",0
"R_BACLOFEN",12,"EstablishedDrug","Stage_2",0
"GABBR2",12,"Input Gene","Stage_2",0
"ATXN1",13,"Candidate","Stage_2",0
"QKI",13,"Candidate","Stage_2",0
"RBFOX1",13,"Input Gene","Stage_2",0
"ST6GALNAC6",13,"Input Gene","Stage_2",0
"PACSIN2",14,"Candidate","Stage_2",0
"PACSIN1",14,"Input Gene","Stage_2",0
"SYNJ1",14,"Input Gene","Stage_2",0
"NTRK2",15,"Input Gene","Stage_2",0
"LESTAURTINIB",15,"NovelDrug","Stage_2",0
"PYM50028",15,"NovelDrug","Stage_2",0
"MDK",16,"Candidate","Stage_2",0
"TNR",16,"Candidate","Stage_2",0
"PTPRZ1",16,"Input Gene","Stage_2",0
"ADRBK1",17,"Candidate","Stage_2",1
"CPA5",17,"Candidate","Stage_2",1
"GATA4",17,"Candidate","Stage_2",1
"TIAGABINE",17,"EstablishedDrug","Stage_2",1
"AP1S2",17,"Input Gene","Stage_2",1
"ARIH1",17,"Input Gene","Stage_2",1
"ASF1A",17,"Input Gene","Stage_2",1
"C16orf72",17,"Input Gene","Stage_2",1
"C21orf91",17,"Input Gene","Stage_2",1
"CC2D1A",17,"Input Gene","Stage_2",1
"CCNJ",17,"Input Gene","Stage_2",1
"CDH11",17,"Input Gene","Stage_2",1
"COL4A3BP",17,"Input Gene","Stage_2",1
"DNAJC3",17,"Input Gene","Stage_2",1
"DPY19L1",17,"Input Gene","Stage_2",1
"DUSP1",17,"Input Gene","Stage_2",1
"EIF5A2",17,"Input Gene","Stage_2",1
"ELL2",17,"Input Gene","Stage_2",1
"ELMOD2",17,"Input Gene","Stage_2",1
"FBXO33",17,"Input Gene","Stage_2",1
"GIT2",17,"Input Gene","Stage_2",1
"GLYCTK",17,"Input Gene","Stage_2",1
"GOLGA7",17,"Input Gene","Stage_2",1
"GPM6A",17,"Input Gene","Stage_2",1
"HECTD2",17,"Input Gene","Stage_2",1
"IMPA2",17,"Input Gene","Stage_2",1
"KIAA1432",17,"Input Gene","Stage_2",1
"KLHDC10",17,"Input Gene","Stage_2",1
"MBOAT2",17,"Input Gene","Stage_2",1
"MLXIP",17,"Input Gene","Stage_2",1
"MMEL1",17,"Input Gene","Stage_2",1
"NOVA1",17,"Input Gene","Stage_2",1
"NR5A2",17,"Input Gene","Stage_2",1
"NUDT4",17,"Input Gene","Stage_2",1
"OAZ2",17,"Input Gene","Stage_2",1
"OSTM1",17,"Input Gene","Stage_2",1
"PANK4",17,"Input Gene","Stage_2",1
"PDIK1L",17,"Input Gene","Stage_2",1
"PDS5B",17,"Input Gene","Stage_2",1
"PHACTR2",17,"Input Gene","Stage_2",1
"PHTF2",17,"Input Gene","Stage_2",1
"PHYHIP",17,"Input Gene","Stage_2",1
"PLCL1",17,"Input Gene","Stage_2",1
"POLK",17,"Input Gene","Stage_2",1
"PTPN21",17,"Input Gene","Stage_2",1
"RECK",17,"Input Gene","Stage_2",1
"RER1",17,"Input Gene","Stage_2",1
"RNF2",17,"Input Gene","Stage_2",1
"SESN1",17,"Input Gene","Stage_2",1
"SLC35B4",17,"Input Gene","Stage_2",1
"SLC6A1",17,"Input Gene","Stage_2",1
"TMEFF2",17,"Input Gene","Stage_2",1
"TOR1AIP2",17,"Input Gene","Stage_2",1
"TRIM33",17,"Input Gene","Stage_2",1
"TROVE2",17,"Input Gene","Stage_2",1
"UBE2Z",17,"Input Gene","Stage_2",1
"USP37",17,"Input Gene","Stage_2",1
"WAPAL",17,"Input Gene","Stage_2",1
"WASF3",17,"Input Gene","Stage_2",1
"WDFY3",17,"Input Gene","Stage_2",1
"WHSC1",17,"Input Gene","Stage_2",1
"XKR7",17,"Input Gene","Stage_2",1
"YPEL2",17,"Input Gene","Stage_2",1
"ZFPM2",17,"Input Gene","Stage_2",1
"ZMIZ1",17,"Input Gene","Stage_2",1
"ACAP3",17,"Input Gene","Stage_2",1
"AGFG1",17,"Input Gene","Stage_2",1
"ARHGAP6",17,"Input Gene","Stage_2",1
"ATL2",17,"Input Gene","Stage_2",1
"ATP11C",17,"Input Gene","Stage_2",1
"B3GALTL",17,"Input Gene","Stage_2",1
"BHLHE41",17,"Input Gene","Stage_2",1
"C11orf87",17,"Input Gene","Stage_2",1
"CDK11A",17,"Input Gene","Stage_2",1
"CDK11B",17,"Input Gene","Stage_2",1
"CDK17",17,"Input Gene","Stage_2",1
"CNEP1R1",17,"Input Gene","Stage_2",1
"CSMD3",17,"Input Gene","Stage_2",1
"CUX1",17,"Input Gene","Stage_2",1
"CXorf23",17,"Input Gene","Stage_2",1
"DELTAEF1",17,"Input Gene","Stage_2",1
"DENND5B",17,"Input Gene","Stage_2",1
"ERMP1",17,"Input Gene","Stage_2",1
"ESYT1",17,"Input Gene","Stage_2",1
"FAM122C",17,"Input Gene","Stage_2",1
"FAM160A2",17,"Input Gene","Stage_2",1
"FAM160B1",17,"Input Gene","Stage_2",1
"FAM189A1",17,"Input Gene","Stage_2",1
"FAT3",17,"Input Gene","Stage_2",1
"FOXF1",17,"Input Gene","Stage_2",1
"GPR158",17,"Input Gene","Stage_2",1
"HDHD2",17,"Input Gene","Stage_2",1
"HMBOX1",17,"Input Gene","Stage_2",1
"HSPA13",17,"Input Gene","Stage_2",1
"IQSEC2",17,"Input Gene","Stage_2",1
"IQSEC3",17,"Input Gene","Stage_2",1
"LGR4",17,"Input Gene","Stage_2",1
"LHFP",17,"Input Gene","Stage_2",1
"LOC100996646",17,"Input Gene","Stage_2",1
"MESP2",17,"Input Gene","Stage_2",1
"MIEF1",17,"Input Gene","Stage_2",1
"MMD",17,"Input Gene","Stage_2",1
"MMGT1",17,"Input Gene","Stage_2",1
"PCMTD1",17,"Input Gene","Stage_2",1
"PGM5",17,"Input Gene","Stage_2",1
"PHF21B",17,"Input Gene","Stage_2",1
"PIKFYVE",17,"Input Gene","Stage_2",1
"PPP1R18",17,"Input Gene","Stage_2",1
"RFTN2",17,"Input Gene","Stage_2",1
"RNF169",17,"Input Gene","Stage_2",1
"SGIP1",17,"Input Gene","Stage_2",1
"SLC6A7",17,"Input Gene","Stage_2",1
"SLITRK1",17,"Input Gene","Stage_2",1
"SULF1",17,"Input Gene","Stage_2",1
"TBX18",17,"Input Gene","Stage_2",1
"TMEM254",17,"Input Gene","Stage_2",1
"TSC22D2",17,"Input Gene","Stage_2",1
"VASH1",17,"Input Gene","Stage_2",1
"VASH2",17,"Input Gene","Stage_2",1
"VWA5A",17,"Input Gene","Stage_2",1
"WAVE3",17,"Input Gene","Stage_2",1
"WDR93",17,"Input Gene","Stage_2",1
"ZCCHC24",17,"Input Gene","Stage_2",1
"ZEB4",17,"Input Gene","Stage_2",1
"ZNF500",17,"Input Gene","Stage_2",1
"ZNF532",17,"Input Gene","Stage_2",1
