Pathway,escore,PathwaySize,overlap,overlapList,keep,isSignificant,Community
REACTOME_TRANSCRIPTIONAL_ACTIVITY_OF_SMAD2_SMAD3_SMAD4_HETEROTRIMER,0.001788304,38,2,SMAD2  SMAD3,1,0,7
ST_JNK_MAPK_PATHWAY,0.001980093,40,2,JUN  TP53,1,0,7
KEGG_JAK_STAT_SIGNALING_PATHWAY,0.002100302,155,3,CCND1  CREBBP  STAT4,1,0,7
KEGG_BLADDER_CANCER,0.002181219,42,2,CCND1  TP53,1,0,7
ST_DIFFERENTIATION_PATHWAY_IN_PC12_CELLS,0.002500284,45,2,CREBBP  JUN,1,0,7
PID_LKB1_PATHWAY,0.002724491,47,2,ESR1  TP53,1,0,7
BIOCARTA_TCR_PATHWAY,0.002957826,49,2,JUN  RELA,1,0,7
PID_ANGIOPOIETINRECEPTOR_PATHWAY,0.003077899,50,2,ETS1  RELA,1,0,7
KEGG_ENDOMETRIAL_CANCER,0.003324817,52,2,CCND1  TP53,1,0,7
REACTOME_CIRCADIAN_CLOCK,0.003451648,53,2,CREBBP  NR3C1,1,0,7
KEGG_NON_SMALL_CELL_LUNG_CANCER,0.003580717,54,2,CCND1  TP53,1,0,7
PID_P53REGULATIONPATHWAY,0.00425938,59,2,CREBBP  TP53,1,0,7
PID_FCER1PATHWAY,0.004692973,62,2,JUN  RELA,1,0,7
PID_IL12_2PATHWAY,0.00484186,63,2,RELA  STAT4,1,0,7
REACTOME_SIGNALING_BY_TGF_BETA_RECEPTOR_COMPLEX,0.00484186,63,2,SMAD2  SMAD3,1,0,7
KEGG_GLIOMA,0.005146125,65,2,CCND1  TP53,1,0,7
PID_CD8TCRDOWNSTREAMPATHWAY,0.005146125,65,2,JUN  STAT4,1,0,7
PID_LYSOPHOSPHOLIPID_PATHWAY,0.00530149,66,2,JUN  RELA,1,0,7
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.005618646,68,2,JUN  RELA,1,0,7
KEGG_MELANOMA,0.006110343,71,2,CCND1  TP53,1,0,7
KEGG_LEISHMANIA_INFECTION,0.006278471,72,2,JUN  RELA,1,0,7
REACTOME_NFKB_AND_MAP_KINASES_ACTIVATION_MEDIATED_BY_TLR4_SIGNALING_REPERTOIRE,0.006278471,72,2,JUN  RELA,1,0,7
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_WHITE_ADIPOCYTE_DIFFERENTIATION,0.006278471,72,2,CREBBP  RELA,1,0,7
REACTOME_RIG_I_MDA5_MEDIATED_INDUCTION_OF_IFN_ALPHA_BETA_PATHWAYS,0.006448702,73,2,CREBBP  RELA,1,0,7
REACTOME_TRIF_MEDIATED_TLR3_SIGNALING,0.006621029,74,2,JUN  RELA,1,0,7
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.006795444,75,2,JUN  RELA,1,0,7
REACTOME_TRAF6_MEDIATED_INDUCTION_OF_NFKB_AND_MAP_KINASES_UPON_TLR7_8_OR_9_ACTIVATION,0.007150514,77,2,JUN  RELA,1,0,7
PID_P73PATHWAY,0.007513857,79,2,PML  RELA,1,0,7
PID_BETACATENIN_NUC_PATHWAY,0.007698613,80,2,CCND1  JUN,1,0,7
PID_MET_PATHWAY,0.007698613,80,2,ETS1  JUN,1,0,7
REACTOME_MYD88_MAL_CASCADE_INITIATED_ON_PLASMA_MEMBRANE,0.008265139,83,2,JUN  RELA,1,0,7
BIOCARTA_MAPK_PATHWAY,0.009048855,87,2,JUN  RELA,1,0,7
KEGG_APOPTOSIS,0.009249801,88,2,RELA  TP53,1,0,7
REACTOME_ACTIVATED_TLR4_SIGNALLING,0.010284296,93,2,JUN  RELA,1,0,7
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.012269307,102,2,JUN  RELA,1,0,7
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.013678478,108,2,JUN  RELA,1,0,7
REACTOME_TOLL_RECEPTOR_CASCADES,0.01617538,118,2,JUN  RELA,1,0,7
BIOCARTA_FREE_PATHWAY,0.016381684,10,1,RELA,1,0,7
REACTOME_ACTIVATION_OF_THE_AP1_FAMILY_OF_TRANSCRIPTION_FACTORS,0.016381684,10,1,JUN,1,0,7
REACTOME_BASE_FREE_SUGAR_PHOSPHATE_REMOVAL_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY,0.016381684,10,1,TDG,1,0,7
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR,0.016381684,10,1,RELA,1,0,7
BIOCARTA_EPONFKB_PATHWAY,0.018005466,11,1,RELA,1,0,7
BIOCARTA_SET_PATHWAY,0.018005466,11,1,CREBBP,1,0,7
PID_P38GAMMADELTAPATHWAY,0.018005466,11,1,CCND1,1,0,7
REACTOME_NFKB_IS_ACTIVATED_AND_SIGNALS_SURVIVAL,0.018005466,11,1,RELA,1,0,7
BIOCARTA_VDR_PATHWAY,0.019626649,12,1,CREBBP,1,0,7
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_SINGLE_NUCLEOTIDE_REPLACEMENT_PATHWAY,0.019626649,12,1,TDG,1,0,7
BIOCARTA_CARM1_PATHWAY,0.021245236,13,1,CREBBP,1,0,7
BIOCARTA_D4GDI_PATHWAY,0.021245236,13,1,JUN,1,0,7
BIOCARTA_RB_PATHWAY,0.021245236,13,1,TP53,1,0,7
REACTOME_NOTCH_HLH_TRANSCRIPTION_PATHWAY,0.021245236,13,1,CREBBP,1,0,7
SA_REG_CASCADE_OF_CYCLIN_EXPR,0.021245236,13,1,CCND1,1,0,7
BIOCARTA_DREAM_PATHWAY,0.022861232,14,1,JUN,1,0,7
PID_TCRJNKPATHWAY,0.022861232,14,1,JUN,1,0,7
REACTOME_P75NTR_SIGNALS_VIA_NFKB,0.022861232,14,1,RELA,1,0,7
REACTOME_TRAF3_DEPENDENT_IRF_ACTIVATION_PATHWAY,0.022861232,14,1,CREBBP,1,0,7
BIOCARTA_CD40_PATHWAY,0.02447464,15,1,RELA,1,0,7
BIOCARTA_HIF_PATHWAY,0.02447464,15,1,JUN,1,0,7
BIOCARTA_PITX2_PATHWAY,0.02447464,15,1,CREBBP,1,0,7
BIOCARTA_TALL1_PATHWAY,0.02447464,15,1,RELA,1,0,7
BIOCARTA_IL22BP_PATHWAY,0.026085465,16,1,STAT4,1,0,7
BIOCARTA_ARF_PATHWAY,0.02769371,17,1,TP53,1,0,7
BIOCARTA_HCMV_PATHWAY,0.02769371,17,1,RELA,1,0,7
BIOCARTA_IL10_PATHWAY,0.02769371,17,1,STAT4,1,0,7
BIOCARTA_IL7_PATHWAY,0.02769371,17,1,CREBBP,1,0,7
BIOCARTA_NO2IL12_PATHWAY,0.02769371,17,1,STAT4,1,0,7
PID_NFKAPPABATYPICALPATHWAY,0.02769371,17,1,RELA,1,0,7
REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS,0.02769371,17,1,TP53,1,0,7
REACTOME_RESOLUTION_OF_AP_SITES_VIA_THE_MULTIPLE_NUCLEOTIDE_PATCH_REPLACEMENT_PATHWAY,0.02769371,17,1,TDG,1,0,7
BIOCARTA_NGF_PATHWAY,0.029299381,18,1,JUN,1,0,7
BIOCARTA_TEL_PATHWAY,0.029299381,18,1,TP53,1,0,7
BIOCARTA_TNFR2_PATHWAY,0.029299381,18,1,RELA,1,0,7
REACTOME_RIP_MEDIATED_NFKB_ACTIVATION_VIA_DAI,0.029299381,18,1,RELA,1,0,7
BIOCARTA_EPO_PATHWAY,0.030902479,19,1,JUN,1,0,7
BIOCARTA_MTA3_PATHWAY,0.030902479,19,1,ESR1,1,0,7
PID_HIF1APATHWAY,0.030902479,19,1,TP53,1,0,7
REACTOME_BASE_EXCISION_REPAIR,0.030902479,19,1,TDG,1,0,7
BIOCARTA_CCR5_PATHWAY,0.032503011,20,1,JUN,1,0,7
BIOCARTA_ATRBRCA_PATHWAY,0.034100979,21,1,TP53,1,0,7
BIOCARTA_IGF1_PATHWAY,0.034100979,21,1,JUN,1,0,7
BIOCARTA_TOB1_PATHWAY,0.034100979,21,1,SMAD3,1,0,7
REACTOME_TRAF6_MEDIATED_NFKB_ACTIVATION,0.034100979,21,1,RELA,1,0,7
BIOCARTA_AKT_PATHWAY,0.035696387,22,1,RELA,1,0,7
BIOCARTA_CERAMIDE_PATHWAY,0.035696387,22,1,RELA,1,0,7
BIOCARTA_CHEMICAL_PATHWAY,0.035696387,22,1,TP53,1,0,7
BIOCARTA_IL2_PATHWAY,0.035696387,22,1,JUN,1,0,7
BIOCARTA_IL6_PATHWAY,0.035696387,22,1,JUN,1,0,7
BIOCARTA_INSULIN_PATHWAY,0.035696387,22,1,JUN,1,0,7
PID_PDGFRAPATHWAY,0.035696387,22,1,JUN,1,0,7
KEGG_HUNTINGTONS_DISEASE,0.037249261,185,2,CREBBP  TP53,1,0,7
BIOCARTA_CELLCYCLE_PATHWAY,0.037289241,23,1,CCND1,1,0,7
BIOCARTA_CTCF_PATHWAY,0.037289241,23,1,TP53,1,0,7
BIOCARTA_GLEEVEC_PATHWAY,0.037289241,23,1,JUN,1,0,7
BIOCARTA_NFKB_PATHWAY,0.037289241,23,1,RELA,1,0,7
BIOCARTA_P53HYPOXIA_PATHWAY,0.037289241,23,1,TP53,1,0,7
BIOCARTA_RAS_PATHWAY,0.037289241,23,1,RELA,1,0,7
PID_NFKAPPABCANONICALPATHWAY,0.037289241,23,1,RELA,1,0,7
REACTOME_CIRCADIAN_REPRESSION_OF_EXPRESSION_BY_REV_ERBA,0.037289241,23,1,CREBBP,1,0,7
REACTOME_TAK1_ACTIVATES_NFKB_BY_PHOSPHORYLATION_AND_ACTIVATION_OF_IKKS_COMPLEX,0.037289241,23,1,RELA,1,0,7
ST_GA12_PATHWAY,0.037289241,23,1,JUN,1,0,7
BIOCARTA_CSK_PATHWAY,0.038879542,24,1,CREBBP,1,0,7
BIOCARTA_CXCR4_PATHWAY,0.038879542,24,1,RELA,1,0,7
BIOCARTA_G2_PATHWAY,0.038879542,24,1,TP53,1,0,7
BIOCARTA_TPO_PATHWAY,0.038879542,24,1,JUN,1,0,7
PID_S1P_S1P2_PATHWAY,0.038879542,24,1,JUN,1,0,7
REACTOME_RORA_ACTIVATES_CIRCADIAN_EXPRESSION,0.038879542,24,1,CREBBP,1,0,7
REACTOME_YAP1_AND_WWTR1_TAZ_STIMULATED_GENE_EXPRESSION,0.038879542,24,1,CREBBP,1,0,7
SA_B_CELL_RECEPTOR_COMPLEXES,0.038879542,24,1,JUN,1,0,7
KEGG_DORSO_VENTRAL_AXIS_FORMATION,0.040467296,25,1,ETS1,1,0,7
KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG,0.040467296,25,1,ONECUT1,1,0,7
PID_MYC_PATHWAY,0.040467296,25,1,PML,1,0,7
REACTOME_REGULATION_OF_HYPOXIA_INDUCIBLE_FACTOR_HIF_BY_OXYGEN,0.040467296,25,1,CREBBP,1,0,7
PID_IL27PATHWAY,0.042052507,26,1,STAT4,1,0,7
REACTOME_ACTIVATION_OF_GENES_BY_ATF4,0.042052507,26,1,ATF3,1,0,7
KEGG_FOCAL_ADHESION,0.043281394,201,2,CCND1  JUN,1,0,7
PID_GLYPICAN_1PATHWAY,0.043635178,27,1,SMAD2,1,0,7
ST_GRANULE_CELL_SURVIVAL_PATHWAY,0.043635178,27,1,JUN,1,0,7
BIOCARTA_TNFR1_PATHWAY,0.046792916,29,1,JUN,1,0,7
BIOCARTA_VIP_PATHWAY,0.046792916,29,1,RELA,1,0,7
PID_BARD1PATHWAY,0.046792916,29,1,TP53,1,0,7
PID_TCRCALCIUMPATHWAY,0.046792916,29,1,JUN,1,0,7
REACTOME_PERK_REGULATED_GENE_EXPRESSION,0.046792916,29,1,ATF3,1,0,7
ST_TUMOR_NECROSIS_FACTOR_PATHWAY,0.046792916,29,1,JUN,1,0,7
BIOCARTA_FAS_PATHWAY,0.048367992,30,1,JUN,1,0,7
PID_RETINOIC_ACID_PATHWAY,0.048367992,30,1,CREBBP,1,0,7
REACTOME_INTRINSIC_PATHWAY_FOR_APOPTOSIS,0.048367992,30,1,TP53,1,0,7
REACTOME_MAPK_TARGETS_NUCLEAR_EVENTS_MEDIATED_BY_MAP_KINASES,0.048367992,30,1,JUN,1,0,7
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT,0.048367992,30,1,ONECUT1,1,0,7
REACTOME_TRAF6_MEDIATED_IRF7_ACTIVATION,0.048367992,30,1,CREBBP,1,0,7
BIOCARTA_PYK2_PATHWAY,0.049940543,31,1,JUN,1,0,7
PID_AURORA_A_PATHWAY,0.049940543,31,1,TP53,1,0,7
PID_NEPHRIN_NEPH1_PATHWAY,0.049940543,31,1,JUN,1,0,7
BIOCARTA_DEATH_PATHWAY,0.05307809,33,1,RELA,1,0,7
PID_IL2_PI3KPATHWAY,0.054643094,34,1,RELA,1,0,7
ST_WNT_BETA_CATENIN_PATHWAY,0.054643094,34,1,SENP2,1,0,7
KEGG_BASE_EXCISION_REPAIR,0.056205589,35,1,TDG,1,0,7
PID_HIVNEFPATHWAY,0.056205589,35,1,RELA,1,0,7
BIOCARTA_AGR_PATHWAY,0.05776558,36,1,JUN,1,0,7
BIOCARTA_AT1R_PATHWAY,0.05776558,36,1,JUN,1,0,7
PID_PI3KPLCTRKPATHWAY,0.05776558,36,1,CCND1,1,0,7
BIOCARTA_BCR_PATHWAY,0.05932307,37,1,JUN,1,0,7
BIOCARTA_GPCR_PATHWAY,0.05932307,37,1,JUN,1,0,7
BIOCARTA_MET_PATHWAY,0.05932307,37,1,JUN,1,0,7
REACTOME_DOWNSTREAM_TCR_SIGNALING,0.05932307,37,1,RELA,1,0,7
BIOCARTA_INTEGRIN_PATHWAY,0.060878064,38,1,JUN,1,0,7
REACTOME_G1_PHASE,0.060878064,38,1,CCND1,1,0,7
REACTOME_NUCLEAR_SIGNALING_BY_ERBB4,0.060878064,38,1,ESR1,1,0,7
BIOCARTA_FMLP_PATHWAY,0.062430565,39,1,RELA,1,0,7
PID_ECADHERIN_NASCENTAJ_PATHWAY,0.062430565,39,1,CCND1,1,0,7
PID_RET_PATHWAY,0.062430565,39,1,JUN,1,0,7
PID_IFNGPATHWAY,0.063980577,40,1,CREBBP,1,0,7
BIOCARTA_FCER1_PATHWAY,0.065528104,41,1,JUN,1,0,7
PID_ER_NONGENOMIC_PATHWAY,0.065528104,41,1,ESR1,1,0,7
PID_TCPTP_PATHWAY,0.068615719,43,1,CREBBP,1,0,7
PID_ERBB2ERBB3PATHWAY,0.070155814,44,1,JUN,1,0,7
BIOCARTA_BIOPEPTIDES_PATHWAY,0.071693439,45,1,STAT4,1,0,7
PID_HNF3BPATHWAY,0.071693439,45,1,NR3C1,1,0,7
PID_RHOA_PATHWAY,0.071693439,45,1,JUN,1,0,7
PID_TNFPATHWAY,0.073228599,46,1,RELA,1,0,7
REACTOME_NOTCH1_INTRACELLULAR_DOMAIN_REGULATES_TRANSCRIPTION,0.073228599,46,1,CREBBP,1,0,7
KEGG_NOTCH_SIGNALING_PATHWAY,0.074761297,47,1,CREBBP,1,0,7
PID_DELTANP63PATHWAY,0.074761297,47,1,FOSL2,1,0,7
PID_IL6_7PATHWAY,0.074761297,47,1,JUN,1,0,7
PID_NFAT_TFPATHWAY,0.074761297,47,1,JUN,1,0,7
PID_AJDISS_2PATHWAY,0.076291537,48,1,CREBBP,1,0,7
PID_CERAMIDE_PATHWAY,0.076291537,48,1,RELA,1,0,7
PID_HEDGEHOG_GLIPATHWAY,0.076291537,48,1,CREBBP,1,0,7
PID_HES_HEYPATHWAY,0.076291537,48,1,CREBBP,1,0,7
PID_FOXOPATHWAY,0.077819323,49,1,CREBBP,1,0,7
REACTOME_MAP_KINASE_ACTIVATION_IN_TLR_CASCADE,0.079344658,50,1,JUN,1,0,7
REACTOME_AUTODEGRADATION_OF_THE_E3_UBIQUITIN_LIGASE_COP1,0.080867547,51,1,TP53,1,0,7
PID_KITPATHWAY,0.082387992,52,1,CREBBP,1,0,7
KEGG_AMYOTROPHIC_LATERAL_SCLEROSIS_ALS,0.083905999,53,1,TP53,1,0,7
PID_NFAT_3PATHWAY,0.08542157,54,1,CREBBP,1,0,7
PID_RAC1_PATHWAY,0.08542157,54,1,JUN,1,0,7
PID_TAP63PATHWAY,0.08542157,54,1,PML,1,0,7
REACTOME_TCR_SIGNALING,0.08542157,54,1,RELA,1,0,7
KEGG_BASAL_CELL_CARCINOMA,0.08693471,55,1,TP53,1,0,7
PID_FGF_PATHWAY,0.08693471,55,1,JUN,1,0,7
PID_IL2_1PATHWAY,0.08693471,55,1,JUN,1,0,7
BIOCARTA_NFAT_PATHWAY,0.088445422,56,1,CREBBP,1,0,7
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.088445422,56,1,RELA,1,0,7
REACTOME_P53_DEPENDENT_G1_DNA_DAMAGE_RESPONSE,0.089953711,57,1,TP53,1,0,7
BIOCARTA_HIVNEF_PATHWAY,0.091459579,58,1,RELA,1,0,7
PID_NOTCH_PATHWAY,0.092963031,59,1,CCND1,1,0,7
PID_AR_PATHWAY,0.0959627,61,1,CCND1,1,0,7
KEGG_NOD_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.097458925,62,1,RELA,1,0,7
PID_TRKRPATHWAY,0.097458925,62,1,CCND1,1,0,7
PID_ENDOTHELINPATHWAY,0.098952748,63,1,JUN,1,0,7
REACTOME_INTERFERON_GAMMA_SIGNALING,0.098952748,63,1,PML,1,0,7
REACTOME_ACTIVATION_OF_NF_KAPPAB_IN_B_CELLS,0.100444174,64,1,RELA,1,0,7
PID_IL4_2PATHWAY,0.101933206,65,1,ETS1,1,0,7
ST_FAS_SIGNALING_PATHWAY,0.101933206,65,1,TP53,1,0,7
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.104904104,67,1,RELA,1,0,7
PID_MTOR_4PATHWAY,0.107865469,69,1,PML,1,0,7
PID_P75NTRPATHWAY,0.107865469,69,1,TP53,1,0,7
KEGG_LONG_TERM_POTENTIATION,0.109342587,70,1,CREBBP,1,0,7
PID_CDC42_PATHWAY,0.109342587,70,1,JUN,1,0,7
REACTOME_SIGNALING_BY_NOTCH1,0.109342587,70,1,CREBBP,1,0,7
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.110817334,71,1,RELA,1,0,7
